short_company,th_company_name,eng_company_name,type_business,type_technology,product,type_innovation,detail,owner,province_base,address,phone_number,email,website,note,source,cluster
WorkVenture,บริษัท เวิร์คเวนเจอร์ เทคโนโลจีส์ จำกัด,"WorkVenture Technologies Co., Ltd.","SW, Digital Content","Big Data, Machine Learning",,,บริการระบบเว็บไซต์หางาน (Recruitment Software),"นายอเล็กซานเดอร์ เคอร์โบ, นายราโดลสลอว์ กอลสกี, นายทรงพล เชาวโยธิน, นายพินิจสรณ์ ลือชัยขจรพันธ์",กรุงเทพมหานคร,3656/45 อาคารกรีน ทาวเวอร์ ชั้น 14 ถนนพระราม 4 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110,0-2026-3296,info@workventure.com,http://www.workventure.com,,,3
KEEN EYE,บริษัท คีน อายน์ จำกัด,"Keen Eye Co., Ltd.","SW, Digital Service",Data Science,,,"บริการออกแบบระบบวสื่อออนไลน์และการตลาดทุกรูปแบบ (Online Marketing Solutions), Enterprise Data Center Solution (Single sign on (SSO), Enterprise Search Engine, Data Analytic)","นายทัศน์พล เติมจรัส, นายสุเมธ จิตนำชัย, นายปฐมพัฒน์ อิ่มกำเหนิด, นายพีรเดช กุลประชากิจ",กรุงเทพมหานคร,98/55 ซอยอ่อนนุช 36 ถนนสุขุมวิท 77 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,09-5553-4978,info@keeneye.co.th,http://keeneye.co.th,,,6
Kiosqueto ,บริษัท กีออสโต้ จำกัด,"Kiosqueto Co., Ltd.","HW, SW, Digital Service",,,,"บริการพัฒนาระบบการจัดการร้านอาหาร อาทิเช่น ระบบแคชเชียร์ ระบบฟาสต์ฟู้ด ระบบควบคุมสต็อก ระบบบริหารงานสาขา และระบบครัวกลาง, บริการอุปกรณ์ที่ใช้กับระบบร้านอาหาร อาทิเช่น ชุด All in One,Touch Screen, Epson Printer,  Cash Drawer, Samsung Tablet, Samsung Smart Phone, Customer Display",นางสาวดารณี เพชรายุทธพันธ์,นนทบุรี,100/562 หมู่ที่ 8 ถนนติวานนท์ ตำบลบางพูด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,0-2964-6040,support@kiosqueto.com,http://www.kiosqueto.com,,,4
LATENT iDEA,บริษัท ลาเท็นท์ ไอเดีย จำกัด,"Latent Idea Co., Ltd.","HW, SW, Digital Service, Infrastructure",,,,"บริการออกแบบจัดหาโครงสร้างพื้นฐานระบบเทคโนโลยีสารสนเทศและ IT Solution แบบครบวงจร,  บริการสนับสนุน บุคลากรทางด้าน ไอที(Outsourcing)","นายคมกฤช รัตนวิริยะ, นายกำพล รัตนวิริยะ",นนทบุรี,99/220 หมู่ที่ 8 ถนนติวานนท์ ตำบลบางพูด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,0-2583-2430,info@latentidea.com,http://www.latentidea.com,,,0
LeaderBIZ Solution,บริษัท ลีดเดอร์ บิซ โซลูชั่น จำกัด,"Leader BIZ Solution Co., Ltd.","HW, SW, Digital Service, Infrastructure",,,,"บริการทางด้าน IT แบบครบวงจร, SAP & ERP, BERP & CERP Business Enterprise Resource Planning, Web & Mobile Development Solution, ออกแบบจัดหาระบบโครงสร้างพื้นฐานเทคโนโลยีสารสนเทศ (IT Network)",นางสาวกาญจนา ศรีสวนกาญจน์,นนทบุรี,67/16 อาคารไดนาสตี้คอมเพล็กซ์ ชั้นที่ 2 ซอยลาดพร้าว 71 ถนนลาดพร้าว แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310,0-2118-3450,info@leaderbiz.co.th,http://www.leaderbiz.co.th,,,6
M-Focus ,บริษัท เอ็มโฟกัส จำกัด,"M-Focus Co., Ltd.","HW, SW, Digital Service, Infrastructure","Big Data, Data Science",,,"บริการออกแบบจัดหาโครงสร้างพื้นฐานระบบเทคโนโลยีสารสนเทศและ IT Solution แบบครบวงจร (BI, ERP, Big Data, SCM, SCP, Advanced Scheduling, Demand Forecasting & Inventory Planning)","นายปรีชา พันธุมสินชัย, นางปราณี พันธุมสินชัย, นายเนตร พันธุมสินชัย, นายชนะ สุพัฒสร",กรุงเทพมหานคร,888 อาคารไอทาวเวอร์ ชั้นที่ 14 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,0-2513-9892,marketing@m-focus.co.th,http://www.m-focus.co.th,,,0
MFEC,บริษัท เอ็ม เอฟ อี ซี จำกัด (มหาชน),"MFEC Public Co., Ltd.","HW, SW, Digital Service, Infrastructure",Data Science,,,"บริการให้คำปรึกษา พัฒนาและวางระบบคอมพิวเตอร์และเครือข่ายงานเทคโนโลยีสารสนเทศ สำหรับลูกค้าทั้งภาครัฐและเอกชน (Accounting ,Accounting & Financial ,Application Development,Asset Management,Automotive,Billing,Business Intelligence,Collaboration,Computerized Maintenance Management (CMMS),Customer Relationship Management (CRM),Data Management,Document Management,Education,Enterprise Resource Planning (ERP),Facilities Management,Help Desk,Human Resources (HR),Insurance,Inventory Management,Knowledge Management,Logistics,Network & Security,Online Marketing,Professional Services Automation (PSA),Project Management,Retail Management,Sales & Marketing,Telecommunications,Transportation & Logistics)","นายศิริวัฒน์ วงศ์จารุกร, นายธนกร ชาลี, นายศิริศักดิ์ ถิรวัฒนางกูร",กรุงเทพมหานคร,699 อาคารโมเดอร์นฟอร์มทาวเวอร์ ถนนศรีนครินทร์ แขวงพัฒนาการ เขตสวนหลวง กรุงเทพมหานคร 10250,0-2821-7999,recruitment@mfec.co.th,http://www.mfec.co.th,,,0
MOSCII CORPORATION,บริษัท มอสกี้ คอร์ปอเรชั่น จำกัด,"Moscii Corporation Co., Ltd.","HW/Smart Device, SW, Digital Service",Internet of Thing,,,"บริการให้คำปรึกษาด้านระบบคอมพิวเตอร์รวมถึงการออกแบบ การติดตั้งระบบ และการแก้ไขปัญหา, บริการซอฟต์แวร์ StarCat การบริหารจัดการเครื่องคอมพิวเตอร์ โดยเฉพาะในเครือข่ายขนาดใหญ่ (Large Scale Computer Management System), บริการวิจัยและพัฒนานวัตกรรมด้านเทคโนโลยีด้านระบบสมองกลฝังตัว, Internet of Thing (IoT), Remote Sensing และซอร์ฟแวร์อื่นๆ ที่เกี่ยวข้อง, ระบบบริหารจัดการและติดตามยานพาหนะ (Startrax), สารพัด แพลตฟอร์ม (Xarapat platform)เป็นแพลตฟอร์มบนอุปกรณ์เคลื่อนที่",นายนรินทร์นาถ สุขสวัสดิ์,กรุงเทพมหานคร,6/54 อาคารสตาร์แคท ซอยงามวงศ์วาน 59 แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,0-2115-2731 ext 105,salessupport@moscii.com,http://www.moscii.com,,,0
9 Net,บริษัท นายเน็ต จำกัด,"Nine Net Co., Ltd.","SW, Digital Service",,,,"บริการออกแบบจัดหา ซอฟต์แวร์เพื่อกลุ่ม retail & hospitality ที่เกี่ยวข้องกับ Inventory Management, Point of Sale (POS), Retail Management","นายวิชัย กำธรทักษิณา, นายพิพัฒน์ บุญฤทธิ์ฤทัยกุล, นายชนินทร์ เชาวมิตร, นายณรงค์ฤทธิ์ มโนมัยพิบูลย์, นายวีระศักดิ์ สมบัติวัฒนา, นายทินกร เหล่าเราวิโรจน์",กรุงเทพมหานคร,47/17 ถนนเสนานิคม 1 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,0-20330-700,contact@9net.co.th,http://9net.co.th,,,0
NPpointasia,บริษัท เอ็นพี พอยท์เอเชีย จำกัด,"NP Point Asia Co., Ltd.","HW/Smart Device, SW, Digital Service",,,,"บริการทางด้าน IT แบบครบวงจร (Business Consulting & Market Research , Software Development , Information Technology , Smart Pole/Smart Solar Streetlight and Smart City Solutions)",นายไอศูรย์ พิเชฐจำรัสชีพ,กรุงเทพมหานคร,102 อาคารล็อกซเล่ย์ ชั้นที่ 14 ถนนณ ระนอง แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,0-2240-3319,info@nppointasia.com,http://nppointasia.com,,,0
OPENSERVE,บริษัท โอเพ่นเซิร์ฟ จำกัด,"Openserve Co., Ltd.","SW, Digital Service, Digital Content",,,,บริการผลิตและจำหน่ายสื่อดิจิตอลด้านการเรียนรู้แบบออนไลน์ ทั้งในรูปแบบ eBook และวีดีโอ และเป็นผู้พัฒนาระบบโปรแกรมบริหารการจัดการสื่อดิจิตอลออนไลน์ OKMS และโปรแกรม I Love Library ซึ่งใช้สำหรับสร้างeBook และ eCatalog,"นายนิทัศน์ มณีศิลาสันต์, นางวันทนี มณีศิลาสันต์, นายสรพล สุขสวัสดิ์",กรุงเทพมหานคร,89/35 อาคารจูเคี่ยวเล้ง ชั้น 4 ถนนวิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210,0-2532-5151,info@openserve.co.th,http://www.openserve.co.th,,,4
PT&T,บริษัท แปซิฟิคโทรคมนาคมและโทรศัพท์ จำกัด,"Pacific Telecommunication and Telephones Co., Ltd.","HW, SW",,,,"บริการออกแบบจัดหาให้บริการ ระบบโทรศัพท์ตู้สาขา (PABX, IP-PABX) รวมถึงซอฟต์แวร์ที่เกี่ยวข้อง โปรแกรมคำนวณค่าโทรศัพท์ (Software Billing), บริการจำหน่าย IP Video Intercom, CCTV-DVR, VOIP/IP Telephone Set, Voice Recorder, Fingerprint Scan, Access Control, Nurse Call System",นายพรชัย จงภักดี,กรุงเทพมหานคร,1632-1634 หมู่ที่ 11 ถนนลาดพร้าว แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,0-2933-9301,wm_ptt@yahoo.com,http://www.ptt.co.th,,,4
Peopleplus,บริษัท พีเพิล พลัส ซอฟต์แวร์ จำกัด,"People Plus Software Co., Ltd.","SW, Digital Service",,,,"บริการซอฟต์แวร์ระบบบริหารทรัพยากรมนุษย์ (HRMS) (HUMAN CAPITAL MANAGEMENT, CLOUD SOLUTION, OUTSOURCE SERVICE)","นางพิมวรินทร์ คณารักษ์สันติ, นางสาวปารัชณีย์ ธัญญ์จิรกิตติ์",กรุงเทพมหานคร,75/16 อาคารโอเชี่ยนทาวเวอร์ 2 ชั้น 16 ซอยสุขุมวิท 19 (วัฒนา) ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,0-2661-7888,marketing@peopleplus.co.th,http://www.peopleplus.co.th,,,0
Pi.R.SQUARE,บริษัท ไพ อาร์ สแควร์ กรุ๊ป จำกัด,"Pi R Square Group Co., Ltd.",SW,,,,"บริการแพลตฟอร์มออนไลน์ (Online Platform - Web/Mobile Application), Game Application",นายกำพล ลีลาภรณ์,กรุงเทพมหานคร,65/207 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,09-2424-0332,kampol@pirsquare.net,http://www.pirsquare.net,,,1
Pichaya Solution,บริษัท พิชญโซลูชั่น จำกัด,"Pichaya Solution Co., Ltd.","SW, Digital Service",,,,"บริการโซลูชั่น ERP พร้อมบริการให้คำปรึกษาทางธุรกิจ, ออกแบบระบบ ERP, PEAR ERP, MRP Solution","นางเสริมศิริ วงศ์พิชญวิศาล, นายคณพล วงศ์พิชญวิศาล, นายสิริศักดิ์ วงศ์พิชญวิศาล, นางสาวศรัญญา ลิ้มถาวรวงศ์",กรุงเทพมหานคร,2092/28 ถนนจันทน์ แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,0-2286-7862,info@pichayasolution.com,http://www.pichayasolution.com,,,0
PnP,บริษัท พี เอ็น พี โซลูชั่น จำกัด,"PnP Solution Co., Ltd.",SW,,,,"บริการแพลตฟอร์มออนไลน์ (Online Platform - Web/Mobile Application) Booking Management, Field Management, IT Training Courses","นายสมหมาย กรังพานิช, นางสาวนิพาพร ภูวคีรีวิวัฒน์",ปทุมธานี,807/16 หมู่ 8 หมู่บ้าน ภุมริน ตำบลคูคต อำเภอลำลูกกา จังหวัดปทุมธานี 12130,08-1847-3756,nipaporn.p@pnpsw.com,http://www.pnpsw.com,,,1
PCC,บริษัท โปรเฟสชั่นนัล คอมพิวเตอร์ จำกัด,"Professional Computer Co., Ltd.","SW, Digital Service",,,,บริการแพลตฟอร์มออนไลน์ (Online Platform - Web/Mobile Application) และด้าน IT แบบครบวงจร รวมถึงบริการ IT Outsourcing,"นางวนิดา วิริยะธรางกูร, นายศักดิ์ณรงค์ แสงสง่าพงศ์, นางสาวกมลธร มาละวิชัย, นางสาวสุภาพร กุศลสัตย์, นายวันชัย อานันทนสกุล",กรุงเทพมหานคร,102/99 ถนนณ ระนอง แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,0-2106-6000,helpdesk@pccth.com,http://www.pccth.com,,,1
ProsoftERP,บริษัท โปรซอฟท์ อีอาร์พี จำกัด,"Prosoft ERP Co., Ltd.","SW, Digital Service",,,,"บริการออกแบบจัดหาระบบจัดกาทรัพยากรองค์กรแบบครบวงจร (ERP) และให้คำปรึกษาการวางแผนการจัดการทรัพยากรองค์กร, จำหน่ายซอฟต์แวร์ระบบ ERP (Prosoft iERP, Prosoft iERP Asset Management)",นางสาวอัมภิณี ด่านตระกูลม นางสาวอัจฉรา สุนทรพินิจม นางสาวกานต์พิชชา เฮงตระกูล,กรุงเทพมหานคร,2571/1 ซอฟท์แวร์ รีสอร์ท ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,0-2739-5985,info@prosofterp.com,http://www.prosofterp.com,,,4
Puumsoft,บริษัท ภูมิซอฟต์ จำกัด,"Poom Soft Co., Ltd.","SW, Digital Service",,,,"บริการออกแบบจัดหาพัฒนาซอฟต์แวร์ (Software Development) ทางด้าน Human Capital Solution (COACH Solution), บริการ Payroll Outsourcing","นายอาภรณ์ ปอล ศรีพิพัฒน์, นายสมชาติ ติละพรพัฒน์",กรุงเทพมหานคร,54 อาคารบีบี บิลดิ้ง ชั้นที่ 19 ถนนสุขุมวิท 21 แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,0-2260-0100,info@puumsoft.co.th,http://www.puumsoft.co.th,,,6
Quark301,บริษัท ควาร์ก สาม ศูนย์ หนึ่ง จำกัด,"Quark 3-0-1 Co., Ltd.","SW, Digital Service",Internet of Thing,,,"บริการออกแบบจัดหาพัฒนาซอฟต์แวร์ (Software Development, Online Platform - Web/Mobile Application) ทางด้าน POS, Retail Management, CRM, MPR, Manufacturing, ซอฟต์แวร์บริหารร้านจิวเวลรี่ (JPOS), บริหารโรงงานจิวเวลรี่ (JMS), บริหารร้านทอง (GPOS), แอปพลิเคชันออมทอง (App), จำหน่ายอุปกรณ์ประเภท RFID, Barcode, SmartCard, POS","นายบุญเลิศ สิริภัทรวณิช, นายโชติพัทธ์ เกียรติกุล",กรุงเทพมหานคร,36/30 อาคาร พี.เอส.ทาวเวอร์ ชั้น 10 ซอยสุขุมวิท 21 ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,0-2259-4902-3,sale@quark301.com,http://www.quark301.com,,,0
redlab,บริษัท เรดแลบ จำกัด,"Redlab Co., Ltd.","SW, Digital Service, Digital Content",,,,"บริการออกแบบจัดหาพัฒนาด้าน Interactive online platform (Mobile & Emerging Platform, Web Strategy & Development, Media & Interactive Advertising, Digital Marketing, CMS)","นางสาวสุวิตา จรัญวงศ์, นายอมรเทพ ฉิมพลีนภานนท์",กรุงเทพมหานคร,2 ซอยอารีย์สัมพันธ์ 9 ถนนพระราม 6 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,0-2278-2991,contact@redlab.net,http://www.redlab.net,,,2
Savingasia,บริษัท เซฟวิ่งส์เอเซีย (ประเทศไทย) จำกัด,"Savingasia (Thailand) Co., Ltd.",SW,,,,บริการเว็บไซต์ (Online Platform - Web/Mobile Application) เปรียบเทียบผลิตภัณฑ์การเงิน (financial products comparison service) เปรียบเทียบและสมัคร บัตรเครดิต สินเชื่อส่วนบุคคล ประกันภัยรถยนต์ ประกันภัยการเดินทาง,"นายพงษ์ศักดิ์ จักษุเวช, นายแม็กซ์เวลล์ ลีฟวิ่งส์ตัน เมเยอร์, นางสาวดวงจิตร วิภาเจริญวงศ์",กรุงเทพมหานคร,5 ถนนกรุงเทพกรีฑา แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,0-2710-3100,support@masii.com,http://www.masii.co.th,,,0
SeniorCOM,บริษัท ซีเนียร์ คอม จำกัด,"Senior Com Co., Ltdใ","SW, Digital Service",,,,"บริการทางด้าน IT แบบครบวงจร เน้นทางด้านอุตสาหกรรมยานยนต์และด้านการเงิน (Automotive and Financial), Dealer Management System (DMS), ERP Factory Program, CRM, Financial application for small scale loan,",นายสมเกียรติ อึงอารี,กรุงเทพมหานคร,2991/41 ซอยลาดพร้าว 101/3 ถนนลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,0-20370-2112,ceooffice@seniorcom.co.th,http://www.seniorcom.co.th,,,0
SIGNIFY,บริษัท ซิคนิฟาย จำกัด,"Signify Co., Ltd.","SW, Digital Service",Data Science,,,"บริการแพลตฟอร์ม (Platform-as-a-Service) ระบบ CRM, BI, Sale Force Software, Service Management, Marketing Automation, POS","นายวิจักษณ์ จงอุดมเลิศ, นายโกเมศ จงอุดมเลิศ",กรุงเทพมหานคร,931/3 บ้านสาทร เจ้าพระยา ชั้น 2 ซอยเจริญนคร 15 เอ ถนนเจริญนคร แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600,0-2863-6038,presales@signify.co.th,http://www.signifycrm.com,,,6
Smart Shift Solution,บริษัท สมาร์ทชิฟท์โซลูชั่น จำกัด,"Smart Shift Solution Co., Ltd.","SW, Digital Service",Data Science,,,"บริการทางด้าน IT แบบครบวงจร เน้นทางด้า Application Development, ERP, BI, CRM, HRP, Web-Mobile application,","นายอดิเรก พิมพ์เรือง, นายธีรภาพ เหล่าเมตตาจิตต์, นายภัทรพงศ์ สุคนธ์ปิตุมาต",กรุงเทพมหานคร,23/34-35 ชั้น 4 ถนนตรีมิตร แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,0-2938-2170,info@smartshift.co.th,http://www.smartshift.co.th,,,6
Softnix,บริษัท ซอฟท์นิกซ์ เทคโนโลยี จำกัด,"Softnix Technology Co., Ltd.","SW, Digital Service","Big Data, Data Science",,,"บริการพัฒนาซอฟท์แวร์ (Platform as a Service) ให้บริการ EMAIL SERVER, LOG MANAGEMENT SYSTEM,  AUTHENTICATION SYSTEM, BIG DATA ANALYTIC PLATFORM (Softnix Data Platform)","นายรุจิรพงศ์ ฤทธิ์วงศ์, นายชาคริต ผาอินทร์",กรุงเทพมหานคร,731 อาคารพีเอ็มทาวเวอร์ ชั้น 12 ถนนอโศก-ดินแดง แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,0-2245-4942-3,info@softnix.co.th,http://www.softnix.co.th,,,6
Soldev,บริษัท โซลดิฟ จำกัด,"Soldev Co., Ltd.","SW, Digital Service",,,,"บริการแพลตฟอร์มออนไลน์ (Online Platform - Web/Mobile Application) และด้าน IT แบบครบวงจร, Workflow Platform (Soldev Smart Flow-sFlow)","นายศักดิ์พัฒน์ วิทยศักดิ์, นายรัฐพล วงศ์ชัยประทุม, นายศุภกิจ ติยะวัชรพงศ์, นายปรีชา ชุณหวาณิชย์",กรุงเทพมหานคร,39 ตรอกหมู่บ้านศรีรับสุข แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210,0-2900-5192-3,webmaster@soldev.co.th,http://www.soldev.co.th,,,1
SOMAPA IT,บริษัท โสมาภา อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน),"Somapa Information Technology Public Co., Ltd.","SW, Digital Service",,,,"บริการทางด้าน IT แบบครบวงจร และบริการจัดหาพนักงาน (IT Outsourcing), National Security and Border Protection (Smart Border Solution SBS), interactive Advance Passenger Information System (iAPI)","นายเด่นพงษ์ โสมาภา, นางสาวอรจิตร์ เกียรติมงคลเลิศ, นายศุภประเสริฐ วงศ์สุวรรณ",กรุงเทพมหานคร,12 ซอยพระยาสุเรนทร์ 35 ถนนพระยาสุเรนทร์ แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510,0-2791-8888,contact@somapait.com,http://www.somapait.com,,,0
SEA NET,บริษัท เซ้าท์ อีสท์ เอเชีย เน็ทเวอร์ค คอร์ปอเรชั่น จำกัด,"Southeast Asia Network Corporation Co., Ltd.","SW, Digital Service, Infrastructure",Internet of Thing,,,"บริการทางด้าน IT แบบครบวงจร (IT Solution, IT Development, IT services), e-Office Application, RFID Solutions, CRM",นายศิริพจน์ อรุณานนท์ชัย,กรุงเทพมหานคร,4 ซอย 2 เสรี 7 ถนนพระราม 9 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,0-2718-2888,siripoj@seanet.co.th,http://www.seanet.co.th,,,6
SYNATURE TECHNOLOGY,บริษัท ซินเนเจอร์ เทคโนโลยี จำกัด,"Synature Technology Co., Ltd.","SW, Digital Service",,,,บริการซอฟต์แวร์สำหรับธุรกิจค้าปลีก (Retail Business) บริการด้านฮาร์ดแวร์และซอฟต์แวร์ POS ในชื่อ pRoMiSe Restaurant,"นายวิโรจน์ เจียรนัยไพศาล, นายฉัตรชัย โตเลิศมงคล, นายสมบูรณ์ ศุขีวิริยะ, นายภิรมย์ เมธาวีระพงศ์, นางสาวดารุณี แซ่ตั้ง",กรุงเทพมหานคร,55/165 หมู่บ้านบ้านกลางเมือง ซอยลาดพร้าว 88 ถนนลาดพร้าว แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,0-2530-3835-6,info@synaturegroup.com,http://synaturegroup.com,,,0
Thai Cyber Portal,บริษัท ไทยไซเบอร์พอร์ทอล จำกัด,"Thai Cyber Portal Co., Ltd.","SW, Digital Service",,,,บริการผลิตและจัดจำหน่ายซอฟต์แวร์เครื่องมือสำหรับการจัดการความรู้ และ e - marketplace,"นายสุรชัย ศรีวิโรจน์, นางสาวจันทร์จิรา ศรีวิโรจน์",กรุงเทพมหานคร,5 ซอยรามอินทรา 19 แยก 18 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,06-2551-3856,surachai.sriviroj@gmail.com,http://www.aladinplaza.com,,,4
tis,บริษัท ไทย อินฟอร์เมติก ซิสเต็มส์ จำกัด,"Thai Informatic Systems Co., Ltd.","SW, Digital Service",Data Science,,,"บริการทางด้าน IT แบบครบวงจร, ERP, CRM, BI, EAM (Enterprise Asset Management), EDW (Enterprise Data Warehouse), PROMIS - Real Estate Management","นายสุธรรม สัจจาภิมุข, นายชามชุนเดอร์ สัจเดว, นางนีลัมมาลา สัจเดว, นายศิเวก สัจเดว",กรุงเทพมหานคร,52/13 ซอยศาลาแดง 2 ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,0-1266-9058-9,sham@tis.co.th,http://tis.co.th,,,0
B-EN-G,บริษัท โทโย บิสซิเนส เอ็นจิเนียริ่ง (ประเทศไทย) จำกั,"Toyo Business Engineering (Thailand) Co., Ltd.","SW, Digital Service",Data Science,,,"บริกาซอฟต์แวร์ ERP, BI, SAP","นายเคน คิตะอิ, นายยูอิจิ วาตานาเบะ, นายมาโกโตะ โยชิดะ",กรุงเทพมหานคร,191/85 ชั้น 11 อาคารซีทีไอทาวเวอร์ ถนนรัชดาภิเษก แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,0-2661-9805,info@b-en-g.co.th,http://www.b-en-g.co.th,,,4
Triangle Soft,บริษัท ไทรแองเกิ้ล ซอฟท์ จำกัด,"Triangle Soft  Co., Ltd.","SW, Digital Service",,,,"บริกาซอฟต์แวร์ ERP, พัฒนาระบบโปรแกรมเกี่ยวกับการบริหารและพัฒนาทรัพยากรมนุษย์ HRM, MRP, Payroll, ระบบบัญชี DAccount และ DAccount MiniERP, SMS Marketing","นางสาวยุวดี แซ่โก่ย, นายภาวัช ภัทรบูรณ์โชติ",กรุงเทพมหานคร,1213/237 ซอยลาดพร้าว 94 (ปัญจมิตร) แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,0-2934-4208,Info@trianglesoft.co.th,http://www.trianglesoftwaregroup.com,,,4
WAC,บริษัท แวค รีเสิร์ช จำกัด,"Wac Research Co., Ltd.","SW, Digital Service",,,,"บริการระบบตรวจข้อสอบอัตโนมัติ, ระบบคลังข้อสอบ, ระบบสอบออนไลน์, ระบบบทเรียนออนไลน์,ระบบเช็คชื่อออนไลน์, ระบบบริหารให้องเรียนและห้องฝึกอบรมคอมพิวเตอร์, ห้องแลปสอนภาษา, ระบบบันทึกเวลาด้วยลายนิ้วมือสำหรับมหาวิทยาลัย, โรงเรียนและองค์กรต่างๆ, เครื่องอ่านบัตรประชาชนสำหรับงานทะเบียนราษฎร์, สแกนเนอร์ Plustek","นายวันชาติ สุทธิวรรณ, นางจันทนา สุทธิวรรณ",กรุงเทพมหานคร,59 ซอยลาดพร้าววังหิน 48 ถนนลาดพร้าววังหิน แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,0-2530-3809-10,sales@wacinfotech.com,http://www.wacinfotech.com,,,4
WMSL,บริษัท เว็ลธ์ แมเนจเม้นท์ ซิสเท็ม จำกัด,"Wealth Management System Co., Ltd.","SW, Digital Service",,,,"บริการออกแบบจัดหาซอฟต์แวร์ทางด้านธุรกิจการเงิน financial software, Treasury & Asset Management.","นายสมเกียรติ ชินธรรมมิตร์, นางปิยนันทน ปุตระเศรณี, นางลัลน์ลิตา สันต์สถาผล, นายมนตรี เสนีเศรษฐ, นายพิเชฐ วงษ์วิบูลย์สิน",กรุงเทพมหานคร,383 ถนนลาดหญ้า แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร 10600,0-2861-4820-5 ext 5614,marketing@wealth.co.th,http://www.wealth.co.th,,,0
YIP IN TSOI,บริษัท ยิบอินซอย จำกัด,"Yip In Tsoi Co., Ltd.","SW, Digital Service",,,,"บริการทางด้าน IT แบบครบวงจร,  Enterprise Resource Planning (ERP), Help Desk","นายเทียนชัย ลายเลิศ, นางมรกต ยิบอินซอย, นายสุภัค ลายเลิศ, นายยุพธัช ยิบอินซอย, นายอภิรักษ์ จูตระกูล",กรุงเทพมหานคร,523 ถนนมหาพฤฒาราม แขวงมหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500,0-2353-8600,info@yipintsoi.com,http://www.yipintsoi.com,,,0
ZORT,บริษัท ซอร์ทเอาท์ จำกัด,"Zortout Co., Ltd.","SW, Digital Service",,,,"บริการระบบจัดการคำสั่งซื้อสินค้าและการจัดเก็บสินค้าคงคลัง Integrated Cloud Inventory Platform, ระบบจัดการร้านค้าออนไลน์เชื่อมต่อได้ทุกแพลตฟอร์ม online selling management platform, E-Commerce, Enterprise Resource Planning (ERP), Inventory Management, Logistics, Point of Sale (POS)","นายสวภพ ท้วมแสง, นายมหศักย์ สุรกิจบวร, นางสาวรุจา พิตรชญารมย์",กรุงเทพมหานคร,128/152 อาคารพญาไทพลาซ่า ชั้น 14 ถนนพญาไท แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร  10400,0-2026-6423,support@zortout.com,http://zortout.com,,,6
